Col,Row,Name,Endpoint,Pollutant,Author,Race,Ethnicity,Start Age,End Age,Version,Point Estimate,Mean,Percentile 2.5,Percentile 97.5,Formatted Results [2 s.f.],Formatted Results [3 s.f.]
1,111,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.04803368,-0.04758692,-0.118758469820023,0.0250175818800926,"-0.048
(-0.12 to 0.025)","-0.0480
(-0.119 to 0.0250)"
1,113,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.1127168,-0.1116685,-0.27868115901947,0.0587067902088165,"-0.11
(-0.28 to 0.059)","-0.113
(-0.279 to 0.0587)"
1,115,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.06965029,-0.06900249,-0.172203421592712,0.0362762585282326,"-0.070
(-0.17 to 0.036)","-0.0697
(-0.172 to 0.0363)"
1,117,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.238828,-0.2366067,-0.590478599071503,0.124389827251434,"-0.24
(-0.59 to 0.12)","-0.239
(-0.590 to 0.124)"
1,119,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.05001353,-0.04954837,-0.12365347892046,0.0260487589985132,"-0.050
(-0.12 to 0.026)","-0.0500
(-0.124 to 0.0260)"
1,121,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.2199579,-0.2179122,-0.543824076652527,0.114561632275581,"-0.22
(-0.54 to 0.11)","-0.220
(-0.544 to 0.115)"
1,123,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.07741147,-0.07669147,-0.191392123699188,0.0403185412287712,"-0.077
(-0.19 to 0.040)","-0.0774
(-0.191 to 0.0403)"
1,125,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.6541107,-0.6480269,-1.61722338199615,0.340683221817017,"-0.65
(-1.6 to 0.34)","-0.654
(-1.62 to 0.341)"
1,127,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.06643258,-0.0658147,-0.164247930049896,0.0346003584563732,"-0.066
(-0.16 to 0.035)","-0.0664
(-0.164 to 0.0346)"
1,129,"WTP: 1 symptom-day, Dickie and Ulery (2002)|LogNormal|0-17","Asthma Exacerbation, Cough",PM2.5,Ostro et al.,BLACK,,6,18,1,-0.03427316,-0.0339544,-0.0847369879484177,0.0178506374359131,"-0.034
(-0.085 to 0.018)","-0.0343
(-0.0847 to 0.0179)"
